Averaging kernel etc. information for: HNO3
Useful range: 215 hPa to 3.2 hPa (10.7 to 39.9 km)
Mean vertical resln. over this range: -414.4 km, (-1000.0 -- 4.5 km)
      p/hPa  prec./ppbv    VR/km     HR/km
 1000.00000       4.000  -999.99      0.00
  681.29205       4.000  -999.99      0.00
  464.15887       4.000  -999.99      0.00
  316.22775      0.6290     4.65    487.87
  215.44347      0.4786     4.47    410.93
  146.77992      0.5254     3.87    368.41
  100.00000      0.5233     3.70    314.37
   68.12920      0.5418     3.69    308.08
   46.41589      0.5956     3.72    318.62
   31.62278      0.6802     3.91    359.63
   21.54435      0.7944     4.39    418.94
   14.67799      0.9759  -999.99 *********
   10.00000       1.147  -999.99 *********
    6.81292       1.313  -999.99 *********
    4.64159       1.501  -999.99 *********
    3.16228       1.694  -999.99 *********
    2.15443       2.015  -999.99 *********
    1.46780       2.662  -999.99 *********
    1.00000       3.194  -999.99 *********
    0.68129       9.549  -999.99 *********
    0.46416       9.763  -999.99 *********
    0.31623       9.873  -999.99 *********
    0.21544       9.932  -999.99 *********
    0.14678       9.965  -999.99 *********
    0.10000       9.970  -999.99 *********
    0.04642       9.987  -999.99 *********
    0.02154       9.998  -999.99 *********
    0.01000       9.999  -999.99 *********
    0.00464       10.00  -999.99 *********
    0.00215       10.00  -999.99 *********
    0.00100       10.00  -999.99 *********
    0.00046       10.00  -999.99 *********
    0.00022       10.00  -999.99 *********
    0.00010       10.00  -999.99 *********
    0.00005       10.00  -999.99 *********
    0.00002       10.00  -999.99 *********
    0.00001       10.00  -999.99 *********
